"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"354",2.09963944548767e-191,3.48972014350968,0.737,0.036,4.84974719118743e-187,"7","MBP"
"355",5.36222580660064e-181,2.72512222599042,0.653,0.027,1.23856691680862e-176,"7","PTGDS"
"356",3.68862215523289e-178,1.57884599690258,0.295,0,8.51997945415693e-174,"7","MOG"
"357",1.9909808409107e-140,2.88006427349977,0.874,0.087,4.59876754633554e-136,"7","CLDN11"
"358",9.1362143206285e-126,3.45350408983227,0.937,0.128,2.11028278377877e-121,"7","PLP1"
"359",7.43600596127725e-123,1.98560857455557,0.347,0.008,1.71756865693582e-118,"7","TF"
"360",1.47345932591662e-99,1.49461600820994,0.389,0.017,3.4033963510022e-95,"7","MDFI"
"361",1.48521490131666e-98,1.10095160101131,0.274,0.006,3.43054937906122e-94,"7","PADI2"
"362",8.86276651160406e-81,2.4932301868989,0.947,0.233,2.0471218088503e-76,"7","CNP"
"363",4.55195056961711e-80,1.62552392346957,0.347,0.018,1.05140954257016e-75,"7","CNTN2"
"364",1.61712727732114e-73,1.57885529403711,0.558,0.061,3.73524058515637e-69,"7","UGT8"
"365",1.16308096859425e-70,1.66876110405179,0.632,0.087,2.686484421259e-66,"7","TUBB4A"
"366",1.61210308754479e-62,1.2536521147848,0.295,0.017,3.72363571161097e-58,"7","GPR17"
"367",1.57048905400762e-57,1.78295977088412,0.8,0.197,3.6275156169468e-53,"7","SIRT2"
"368",2.60152060255209e-55,1.14635859525648,0.274,0.017,6.00899228777481e-51,"7","CHADL"
"369",1.04623205502215e-53,1.52539711317191,0.842,0.222,2.41658680069015e-49,"7","TSC22D4"
"370",2.24687915324834e-52,1.56541059625219,0.726,0.161,5.18984146817301e-48,"7","SLC44A1"
"371",4.38340049594027e-51,1.08103713999789,0.263,0.017,1.01247784655228e-46,"7","AATK"
"372",1.26671381880847e-49,1.1887917714614,0.358,0.035,2.9258555786838e-45,"7","ERBB3"
"373",9.02118247563386e-41,1.16500387178724,0.453,0.071,2.08371272822191e-36,"7","CMTM5"
"374",3.85647612128851e-39,1.07141443205976,0.326,0.038,8.9076885449522e-35,"7","NFASC"
"375",3.00305658180845e-38,1.53221865971172,0.621,0.153,6.93646009266115e-34,"7","GNB4"
"376",5.5719243239661e-37,1.14906169977931,0.474,0.084,1.28700308034969e-32,"7","LGALS3BP"
"377",6.75886799780766e-36,1.59119701351598,0.453,0.081,1.56116333013361e-31,"7","APOD"
"378",3.90648400969108e-35,1.12483961758061,0.442,0.078,9.02319676558445e-31,"7","RAB33A"
"379",1.51755362992232e-32,1.31165888144411,0.421,0.077,3.50524537439457e-28,"7","APCDD1"
"380",5.79464916263728e-30,1.13192481418568,0.589,0.158,1.33844806358596e-25,"7","FDFT1"
"381",5.53091696399357e-29,1.13504005556176,0.295,0.042,1.27753120034324e-24,"7","EVI2A"
"382",1.04439077037342e-28,0.97009233087615,0.295,0.042,2.41233380140852e-24,"7","SGK1"
"383",6.04247429148612e-27,1.09495008193416,0.663,0.222,1.39569071184746e-22,"7","RDX"
"384",8.5994001205128e-27,0.980404808074659,0.389,0.079,1.98628943983605e-22,"7","TMEM206"
"385",6.17405380973767e-25,1.37539063788485,0.421,0.097,1.42608294897321e-20,"7","SEPT8"
"386",3.14530256712806e-24,1.07161327471069,0.274,0.043,7.2650198695524e-20,"7","AFMID"
"387",7.12440865390209e-24,1.15655825182242,0.421,0.102,1.6455959108783e-19,"7","RND2"
"388",1.8413282250339e-23,1.23529167273371,0.663,0.249,4.25309993418331e-19,"7","S100B"
"389",2.13627869402058e-23,1.33926225980985,0.684,0.287,4.93437652744875e-19,"7","SMOC1"
"390",8.25551593346467e-23,1.19991161537807,0.832,0.427,1.90685907031167e-18,"7","IFI6"
"391",1.1586128083443e-22,1.25636281426413,0.663,0.268,2.67616386471366e-18,"7","APLP1"
"392",1.92024282626753e-22,1.32393684398129,0.758,0.388,4.43537688011275e-18,"7","BCAN"
"393",4.79320349830574e-21,1.72568042326172,0.274,0.051,1.10713414403866e-16,"7","CLDND1"
"394",1.00652405443129e-20,1.00476097000948,0.432,0.117,2.32486926092539e-16,"7","MPZL1"
"395",1.59282615042572e-20,1.17179894847942,0.4,0.103,3.67910984225333e-16,"7","CD9"
"396",1.95196903859319e-20,1.14290347282545,0.537,0.17,4.50865808534254e-16,"7","KCTD12"
"397",8.02727626132096e-19,1.03373404630683,0.295,0.063,1.85414027083992e-14,"7","BIN1"
"398",7.9598282421814e-16,0.943884167280754,0.832,0.51,1.83856112737906e-11,"7","B2M"
