"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_562","cell",3099,1858,0.16134236850597,"2","2"
"cell_563","cell",3096,1797,0,"8","8"
"cell_564","cell",3091,1688,0.0647039792947266,"2","2"
"cell_565","cell",3083,1862,0.0324359390204346,"0","0"
"cell_566","cell",3091,1486,0,"3","3"
"cell_567","cell",3085,1674,0,"3","3"
"cell_568","cell",3089,1659,0.0323729362253156,"5","5"
"cell_569","cell",3076,1779,0.227568270481144,"4","4"
"cell_570","cell",3072,1669,0.0651041666666667,"9","9"
"cell_571","cell",3075,1511,0.0650406504065041,"2","2"
"cell_572","cell",3077,1761,0.032499187520312,"5","5"
"cell_573","cell",3071,1681,0.0325626831650928,"2","2"
"cell_574","cell",3069,1574,0,"1","1"
"cell_575","cell",3068,1550,0,"1","1"
"cell_576","cell",3069,1493,0.0325839035516455,"5","5"
"cell_577","cell",3059,1772,0.03269042170644,"2","2"
"cell_578","cell",3055,1765,0,"0","0"
"cell_579","cell",3058,1727,0.0981033355134075,"2","2"
"cell_580","cell",3052,1999,0.0327653997378768,"4","4"
"cell_581","cell",3049,1806,0.0655952771400459,"3","3"
"cell_582","cell",3054,1541,0.196463654223969,"2","2"
"cell_583","cell",3044,1882,0.164257555847569,"0","0"
"cell_584","cell",3044,1753,0.0328515111695138,"1","1"
"cell_585","cell",3031,1667,0.0659848234905972,"2","2"
"cell_586","cell",3029,1682,0.0330141961043249,"3","3"
"cell_587","cell",3025,1772,0.0661157024793388,"2","2"
"cell_588","cell",3022,1826,0.0330906684315023,"0","0"
"cell_589","cell",3008,1787,0.0664893617021277,"0","0"
"cell_590","cell",3009,1860,0,"2","2"
"cell_591","cell",3009,1648,0,"5","5"
"cell_592","cell",3008,1529,0.132978723404255,"0","0"
"cell_593","cell",3003,1660,0.0666000666000666,"4","4"
"cell_594","cell",3003,1568,0.0333000333000333,"4","4"
"cell_595","cell",3003,1698,0.0333000333000333,"0","0"
"cell_596","cell",3002,1621,0.033311125916056,"8","8"
"cell_597","cell",2996,1786,0.0667556742323097,"6","6"
"cell_598","cell",2989,1551,0.100368016058883,"4","4"
"cell_599","cell",2990,1572,0.0334448160535117,"2","2"
"cell_600","cell",2985,1687,0.033500837520938,"2","2"
"cell_601","cell",2984,1658,0,"6","6"
"cell_602","cell",2980,1511,0.0335570469798658,"0","0"
"cell_603","cell",2982,1620,0,"1","1"
"cell_604","cell",2972,1691,0.134589502018843,"2","2"
"cell_605","cell",2967,1659,0.134816312773846,"6","6"
"cell_606","cell",2971,1585,0.0673174015483002,"3","3"
"cell_607","cell",2970,1624,0,"1","1"
"cell_608","cell",2958,1797,0.0338066260987153,"8","8"
"cell_609","cell",2962,1382,0.0337609723160027,"6","6"
"cell_610","cell",2961,1375,0,"1","1"
"cell_611","cell",2956,1311,0,"1","1"
"cell_612","cell",2950,1487,0,"6","6"
"cell_613","cell",2946,1678,0.0678886625933469,"0","0"
"cell_614","cell",2945,1667,0,"0","0"
"cell_615","cell",2943,1671,0.0339789330615019,"1","1"
"cell_616","cell",2933,1698,0,"2","2"
"cell_617","cell",2931,1741,0.0341180484476288,"2","2"
"cell_618","cell",2928,1856,0.170765027322404,"3","3"
"cell_619","cell",2919,1300,0,"1","1"
"cell_620","cell",2911,1463,0,"5","5"
"cell_621","cell",2909,1572,0,"5","5"
"cell_622","cell",2912,1656,0.171703296703297,"7","7"
"cell_623","cell",2905,1212,0,"10","10"
"cell_624","cell",2907,1746,0,"5","5"
"cell_625","cell",2908,1535,0.0343878954607978,"1","1"
"cell_626","cell",2904,1586,0.034435261707989,"0","0"
"cell_627","cell",2906,1395,0,"1","1"
"cell_628","cell",2899,1697,0,"0","0"
"cell_629","cell",2901,1690,0.0344708721130645,"8","8"
"cell_630","cell",2903,1356,0.103341370995522,"3","3"
"cell_631","cell",2902,1727,0.0689179875947622,"8","8"
"cell_632","cell",2900,1488,0.0344827586206897,"3","3"
"cell_633","cell",2898,1590,0.0690131124913734,"3","3"
"cell_634","cell",2898,1506,0.0345065562456867,"0","0"
"cell_635","cell",2887,1806,0,"8","8"
"cell_636","cell",2889,1743,0.519210799584631,"4","4"
"cell_637","cell",2893,1433,0,"1","1"
"cell_638","cell",2893,1751,0,"3","3"
"cell_639","cell",2888,1772,0.138504155124654,"2","2"
"cell_640","cell",2886,1667,0,"3","3"
"cell_641","cell",2887,1664,0.0346380325597506,"3","3"
"cell_642","cell",2879,1558,0.069468565474123,"7","7"
"cell_643","cell",2885,1641,0.0693240901213172,"1","1"
"cell_644","cell",2871,1635,0,"1","1"
"cell_645","cell",2872,1705,0,"3","3"
"cell_646","cell",2870,1581,0.313588850174216,"2","2"
"cell_647","cell",2869,1438,0,"6","6"
"cell_648","cell",2869,1501,0.104566050888811,"5","5"
"cell_649","cell",2862,1489,0.0349406009783368,"6","6"
"cell_650","cell",2869,1604,0,"8","8"
"cell_651","cell",2866,1653,0.104675505931612,"7","7"
"cell_652","cell",2861,1660,0.139811254806012,"3","3"
