"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","RNA_snn_res.0.8"
"cell_2914","cell",562,444,0.177935943060498,"6","6","6"
"cell_2915","cell",563,458,0.710479573712256,"7","7","7"
"cell_2916","cell",562,443,1.06761565836299,"0","0","0"
"cell_2917","cell",563,434,0.177619893428064,"6","6","6"
"cell_2918","cell",562,446,0.533807829181495,"1","2","2"
"cell_2919","cell",562,446,0.355871886120996,"2","1","1"
"cell_2920","cell",562,439,0.711743772241993,"0","0","0"
"cell_2921","cell",561,448,0,"4","4","4"
"cell_2922","cell",560,434,0.535714285714286,"0","11","11"
"cell_2923","cell",560,460,2.85714285714286,"6","6","6"
"cell_2924","cell",561,454,0.17825311942959,"7","7","7"
"cell_2925","cell",561,445,0.17825311942959,"1","1","1"
"cell_2926","cell",560,391,0.535714285714286,"7","7","7"
"cell_2927","cell",561,408,0,"0","0","0"
"cell_2928","cell",561,430,0.35650623885918,"0","0","0"
"cell_2929","cell",556,387,0.359712230215827,"3","3","3"
"cell_2930","cell",558,390,0.716845878136201,"3","3","3"
"cell_2931","cell",558,444,0,"1","1","1"
"cell_2932","cell",559,398,0.178890876565295,"3","3","3"
"cell_2933","cell",554,452,1.08303249097473,"7","7","7"
"cell_2934","cell",557,428,0,"1","2","2"
"cell_2935","cell",558,479,0.17921146953405,"1","1","1"
"cell_2936","cell",558,439,0.716845878136201,"6","6","6"
"cell_2937","cell",553,455,0.180831826401447,"1","1","1"
"cell_2938","cell",555,434,0.18018018018018,"0","0","0"
"cell_2939","cell",557,415,0.359066427289048,"3","3","3"
"cell_2940","cell",556,416,0,"6","6","6"
"cell_2941","cell",556,414,0.539568345323741,"0","0","0"
"cell_2942","cell",555,451,0.18018018018018,"7","7","7"
"cell_2943","cell",554,434,0,"1","1","1"
"cell_2944","cell",554,433,0,"1","1","1"
"cell_2945","cell",553,427,0,"8","9","9"
"cell_2946","cell",554,461,0.180505415162455,"1","1","1"
"cell_2947","cell",554,455,0.72202166064982,"4","4","4"
"cell_2948","cell",554,453,0.36101083032491,"0","0","0"
"cell_2949","cell",551,424,0.362976406533575,"7","1","1"
"cell_2950","cell",553,400,1.44665461121157,"1","1","1"
"cell_2951","cell",554,440,0.180505415162455,"1","1","1"
"cell_2952","cell",553,444,0.180831826401447,"1","1","1"
"cell_2953","cell",552,415,0.181159420289855,"6","6","6"
"cell_2954","cell",553,422,0.54249547920434,"0","0","0"
"cell_2955","cell",551,431,1.08892921960073,"1","0","0"
"cell_2956","cell",550,467,0.181818181818182,"1","0","0"
"cell_2957","cell",551,440,0.725952813067151,"1","1","1"
"cell_2958","cell",549,446,0.182149362477231,"2","2","2"
"cell_2959","cell",548,383,0.182481751824818,"3","3","3"
"cell_2960","cell",549,415,0,"7","7","7"
"cell_2961","cell",550,428,0.363636363636364,"4","4","4"
"cell_2962","cell",549,417,0.364298724954463,"3","3","3"
"cell_2963","cell",546,440,0.915750915750916,"0","0","0"
"cell_2964","cell",548,428,0,"1","1","1"
"cell_2965","cell",548,396,0.547445255474453,"6","6","6"
"cell_2966","cell",548,435,0,"1","1","1"
"cell_2967","cell",548,413,0.364963503649635,"1","1","1"
"cell_2968","cell",546,401,0.183150183150183,"3","3","3"
"cell_2969","cell",546,443,0.366300366300366,"0","0","0"
"cell_2970","cell",546,414,0.366300366300366,"6","6","6"
"cell_2971","cell",547,393,0.36563071297989,"1","1","1"
"cell_2972","cell",547,445,0.36563071297989,"8","9","9"
"cell_2973","cell",541,439,0.184842883548983,"1","1","1"
"cell_2974","cell",544,425,0,"1","1","1"
"cell_2975","cell",545,427,0.55045871559633,"7","7","7"
"cell_2976","cell",543,410,0.552486187845304,"1","0","0"
"cell_2977","cell",545,408,0.18348623853211,"1","2","2"
"cell_2978","cell",543,437,0,"6","6","6"
"cell_2979","cell",543,402,0.184162062615101,"1","1","1"
"cell_2980","cell",543,412,0.552486187845304,"1","1","1"
"cell_2981","cell",543,418,0,"0","0","0"
"cell_2982","cell",542,421,0.3690036900369,"7","7","7"
"cell_2983","cell",543,399,0,"1","1","1"
"cell_2984","cell",539,410,0.185528756957328,"5","5","5"
"cell_2985","cell",541,402,0,"2","2","2"
"cell_2986","cell",539,430,0,"2","2","2"
"cell_2987","cell",541,394,0.184842883548983,"0","0","0"
"cell_2988","cell",539,437,0.185528756957328,"6","2","2"
"cell_2989","cell",541,399,0.739371534195933,"1","1","1"
"cell_2990","cell",539,420,0.556586270871985,"2","2","2"
"cell_2991","cell",538,420,0.185873605947955,"1","1","1"
"cell_2992","cell",539,403,0.371057513914657,"2","2","2"
"cell_2993","cell",538,416,0.185873605947955,"1","1","1"
"cell_2994","cell",539,438,0.742115027829314,"1","1","1"
"cell_2995","cell",536,420,0.186567164179104,"1","1","1"
"cell_2996","cell",537,425,0.186219739292365,"1","1","1"
"cell_2997","cell",537,427,2.42085661080074,"5","5","5"
"cell_2998","cell",537,412,0,"7","7","7"
"cell_2999","cell",537,347,0,"3","3","3"
"cell_3000","cell",537,413,0.186219739292365,"1","1","1"
"cell_3001","cell",535,431,0.186915887850467,"1","1","1"
"cell_3002","cell",538,450,0.371747211895911,"2","2","2"
"cell_3003","cell",538,394,0.557620817843866,"0","0","0"
"cell_3004","cell",536,401,1.11940298507463,"1","0","0"
"cell_3005","cell",537,416,0,"0","8","8"
"cell_3006","cell",537,437,0,"1","2","2"
"cell_3007","cell",536,432,0,"4","4","4"
"cell_3008","cell",535,418,0.186915887850467,"0","0","0"
"cell_3009","cell",534,418,0,"4","4","4"
"cell_3010","cell",531,423,0.376647834274953,"1","1","1"
"cell_3011","cell",533,423,0.187617260787992,"1","1","1"
"cell_3012","cell",530,420,0,"4","4","4"
"cell_3013","cell",532,419,0.18796992481203,"2","2","2"
"cell_3014","cell",531,397,0.376647834274953,"2","2","2"
"cell_3015","cell",532,444,0.56390977443609,"1","1","1"
"cell_3016","cell",531,421,0,"5","5","5"
"cell_3017","cell",528,419,0,"5","5","5"
"cell_3018","cell",528,392,0.568181818181818,"7","7","7"
"cell_3019","cell",526,414,0.380228136882129,"0","0","0"
"cell_3020","cell",528,404,0.189393939393939,"1","1","1"
"cell_3021","cell",526,445,0,"2","2","2"
"cell_3022","cell",527,444,0.189753320683112,"0","0","0"
"cell_3023","cell",528,416,0.189393939393939,"1","1","1"
"cell_3024","cell",525,397,0,"0","0","0"
"cell_3025","cell",526,408,0.190114068441065,"1","1","1"
"cell_3026","cell",527,408,0,"1","1","1"
"cell_3027","cell",525,379,0,"3","3","3"
"cell_3028","cell",526,427,0,"5","5","5"
"cell_3029","cell",525,431,0.19047619047619,"3","3","3"
"cell_3030","cell",524,379,0.190839694656489,"7","7","7"
"cell_3031","cell",523,414,0.382409177820268,"2","2","2"
"cell_3032","cell",525,426,0,"0","0","0"
"cell_3033","cell",524,414,0.381679389312977,"3","3","3"
"cell_3034","cell",523,396,0,"5","5","5"
"cell_3035","cell",520,381,0.384615384615385,"3","3","3"
"cell_3036","cell",523,398,0,"2","2","2"
"cell_3037","cell",520,328,0,"3","3","3"
"cell_3038","cell",519,344,1.15606936416185,"3","3","3"
"cell_3039","cell",520,378,0.384615384615385,"0","8","8"
"cell_3040","cell",520,414,0,"4","4","4"
"cell_3041","cell",518,401,1.93050193050193,"1","1","1"
"cell_3042","cell",519,414,0.578034682080925,"1","1","1"
"cell_3043","cell",517,423,0.386847195357834,"1","1","1"
"cell_3044","cell",516,402,0,"2","2","2"
"cell_3045","cell",517,427,0.193423597678917,"1","1","1"
"cell_3046","cell",515,412,0.194174757281553,"0","0","0"
"cell_3047","cell",514,402,0.194552529182879,"3","3","3"
"cell_3048","cell",516,419,0,"1","1","1"
"cell_3049","cell",517,417,0.193423597678917,"0","0","0"
"cell_3050","cell",514,397,0.778210116731518,"0","0","0"
"cell_3051","cell",514,436,0,"4","4","4"
"cell_3052","cell",514,426,0.194552529182879,"1","2","2"
"cell_3053","cell",515,395,0,"1","1","1"
"cell_3054","cell",515,393,0.194174757281553,"2","2","2"
"cell_3055","cell",513,402,0.779727095516569,"0","0","0"
"cell_3056","cell",513,383,0,"1","1","1"
"cell_3057","cell",513,403,1.94931773879142,"0","0","0"
"cell_3058","cell",514,352,2.52918287937743,"3","3","3"
"cell_3059","cell",510,394,0.392156862745098,"2","11","11"
"cell_3060","cell",511,409,0.587084148727984,"5","5","5"
"cell_3061","cell",511,411,0.195694716242661,"1","1","1"
"cell_3062","cell",508,398,0.196850393700787,"7","7","7"
"cell_3063","cell",511,346,0,"7","7","7"
"cell_3064","cell",510,380,1.96078431372549,"0","0","0"
"cell_3065","cell",506,425,0.592885375494071,"0","0","0"
"cell_3066","cell",507,396,0,"7","7","7"
"cell_3067","cell",509,393,1.17878192534381,"0","0","0"
"cell_3068","cell",508,404,0.196850393700787,"0","0","0"
"cell_3069","cell",506,412,2.76679841897233,"7","7","7"
"cell_3070","cell",507,417,0.394477317554241,"4","4","4"
"cell_3071","cell",508,414,0.393700787401575,"1","1","1"
"cell_3072","cell",508,393,0,"0","0","0"
"cell_3073","cell",508,343,0.196850393700787,"3","3","3"
"cell_3074","cell",507,383,0,"1","1","1"
"cell_3075","cell",505,400,0.396039603960396,"8","9","9"
"cell_3076","cell",506,382,1.77865612648221,"2","2","2"
"cell_3077","cell",505,398,0.396039603960396,"0","8","8"
"cell_3078","cell",505,382,0,"1","1","1"
"cell_3079","cell",504,353,2.38095238095238,"3","3","3"
"cell_3080","cell",504,418,1.19047619047619,"1","1","1"
"cell_3081","cell",505,407,0.99009900990099,"5","5","5"
"cell_3082","cell",502,369,0.199203187250996,"3","3","3"
"cell_3083","cell",500,415,0.2,"1","1","1"
"cell_3084","cell",504,368,0.595238095238095,"1","1","1"
"cell_3085","cell",503,399,0.596421471172962,"0","0","0"
"cell_3086","cell",503,388,0,"5","5","5"
"cell_3087","cell",501,423,0,"2","2","2"
"cell_3088","cell",502,417,0.199203187250996,"1","1","1"
"cell_3089","cell",500,397,0.2,"1","1","1"
"cell_3090","cell",501,389,0,"5","5","5"
"cell_3091","cell",501,323,0.798403193612774,"3","3","3"
"cell_3092","cell",501,428,0.199600798403194,"1","1","1"
"cell_3093","cell",501,366,0.598802395209581,"5","5","5"
"cell_3094","cell",500,408,1.2,"4","4","4"
"cell_3095","cell",500,382,0.2,"7","7","7"
"cell_3096","cell",500,417,0.4,"1","2","2"
"cell_3097","cell",501,397,0,"1","1","1"
