"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","RNA_snn_res.0.8"
"cell_502","cell",2450,1557,0,"4","4","4"
"cell_503","cell",2446,1262,0.0817661488143908,"3","3","3"
"cell_504","cell",2448,1485,0.571895424836601,"0","0","0"
"cell_505","cell",2439,1551,0.0410004100041,"4","4","4"
"cell_506","cell",2446,1284,0.572363041700736,"3","3","3"
"cell_507","cell",2441,1559,0.327734535026628,"0","0","0"
"cell_508","cell",2441,1398,0.204834084391643,"2","2","2"
"cell_509","cell",2436,1484,0.0821018062397373,"0","0","0"
"cell_510","cell",2433,1419,0.246609124537608,"3","3","3"
"cell_511","cell",2438,1449,0.205086136177194,"2","1","1"
"cell_512","cell",2442,1481,0.0819000819000819,"0","0","0"
"cell_513","cell",2435,1472,0.205338809034908,"5","5","5"
"cell_514","cell",2431,1589,0.370218017276841,"4","4","4"
"cell_515","cell",2431,1544,0.0411353352529823,"4","4","4"
"cell_516","cell",2426,1502,0.0824402308326463,"5","5","5"
"cell_517","cell",2429,1379,0.16467682173734,"0","0","0"
"cell_518","cell",2426,1583,0.370981038746909,"2","2","2"
"cell_519","cell",2424,1261,0.247524752475248,"3","3","3"
"cell_520","cell",2414,1583,0.124275062137531,"4","4","4"
"cell_521","cell",2418,1572,0.289495450785773,"4","4","4"
"cell_522","cell",2415,1247,0.124223602484472,"3","3","3"
"cell_523","cell",2409,1433,0.20755500207555,"2","2","2"
"cell_524","cell",2408,1482,0.0415282392026578,"2","2","2"
"cell_525","cell",2410,1384,0.16597510373444,"5","5","5"
"cell_526","cell",2402,1604,2.20649458784346,"1","1","1"
"cell_527","cell",2403,1413,0.0832292967124428,"0","1","1"
"cell_528","cell",2400,1407,0.208333333333333,"2","2","2"
"cell_529","cell",2394,1261,2.25563909774436,"3","3","3"
"cell_530","cell",2394,1458,0.12531328320802,"5","5","5"
"cell_531","cell",2395,1526,0.0835073068893528,"4","4","4"
"cell_532","cell",2392,1342,0.125418060200669,"3","3","3"
"cell_533","cell",2386,1196,0.754400670578374,"3","3","3"
"cell_534","cell",2385,1361,0.0838574423480084,"0","0","0"
"cell_535","cell",2380,1390,0.966386554621849,"3","3","3"
"cell_536","cell",2384,1398,0.419463087248322,"5","5","5"
"cell_537","cell",2380,1455,0.336134453781513,"2","2","2"
"cell_538","cell",2379,1419,0.0420344682639765,"0","0","0"
"cell_539","cell",2373,1491,0.252844500632111,"5","5","5"
"cell_540","cell",2370,1460,0.0421940928270042,"4","4","4"
"cell_541","cell",2370,1511,0.29535864978903,"5","5","5"
"cell_542","cell",2371,1434,0.126528890763391,"5","5","5"
"cell_543","cell",2365,1401,0.0422832980972516,"3","3","3"
"cell_544","cell",2362,1378,0.0846740050804403,"0","0","0"
"cell_545","cell",2366,1261,0.169061707523246,"0","0","0"
"cell_546","cell",2365,1376,1.14164904862579,"3","3","3"
"cell_547","cell",2366,1340,0.126796280642434,"0","0","0"
"cell_548","cell",2356,1530,0.169779286926995,"0","1","1"
"cell_549","cell",2356,1406,0.127334465195246,"0","0","0"
"cell_550","cell",2360,1453,0.169491525423729,"5","5","5"
"cell_551","cell",2354,1490,0.764655904842821,"0","11","11"
"cell_552","cell",2350,1451,0.0425531914893617,"2","2","2"
"cell_553","cell",2350,1307,0.170212765957447,"0","0","0"
"cell_554","cell",2344,1320,0.725255972696246,"0","0","0"
"cell_555","cell",2341,1270,0.170867150790261,"3","3","3"
"cell_556","cell",2336,1460,0.128424657534247,"0","0","0"
"cell_557","cell",2333,1496,0.300042863266181,"2","2","2"
"cell_558","cell",2337,1281,0.213949507916132,"5","5","5"
"cell_559","cell",2334,1432,0.214224507283633,"0","0","0"
"cell_560","cell",2331,1183,0.257400257400257,"3","3","3"
"cell_561","cell",2334,1468,0.12853470437018,"4","4","4"
"cell_562","cell",2335,1503,0.0856531049250535,"4","4","4"
"cell_563","cell",2328,1320,0,"0","0","0"
"cell_564","cell",2330,1500,0.128755364806867,"4","4","4"
"cell_565","cell",2330,1402,0.214592274678112,"0","0","0"
"cell_566","cell",2329,1517,0.25762129669386,"1","1","1"
"cell_567","cell",2333,1195,0.128589798542649,"3","3","3"
"cell_568","cell",2322,1452,0.172265288544358,"2","2","2"
"cell_569","cell",2330,1465,0.643776824034335,"0","0","0"
"cell_570","cell",2330,1285,0.429184549356223,"3","3","3"
"cell_571","cell",2318,1150,0.776531492666091,"3","3","3"
"cell_572","cell",2320,1388,0.517241379310345,"0","0","0"
"cell_573","cell",2319,1447,0.043122035360069,"5","5","5"
"cell_574","cell",2317,1409,0.172637030643073,"0","0","0"
"cell_575","cell",2316,1506,0.259067357512953,"0","8","8"
"cell_576","cell",2313,1440,0.172935581495893,"0","0","0"
"cell_577","cell",2318,1288,0.215703192407248,"0","10","10"
"cell_578","cell",2309,1481,0.086617583369424,"0","2","2"
"cell_579","cell",2309,1388,0.043308791684712,"6","6","6"
"cell_580","cell",2312,1395,0.129757785467128,"0","0","0"
"cell_581","cell",2307,1250,0.736887732986563,"3","3","3"
"cell_582","cell",2308,1266,0.259965337954939,"0","0","0"
"cell_583","cell",2305,1395,0.17353579175705,"0","0","0"
"cell_584","cell",2303,1410,0.0434216239687364,"6","6","6"
"cell_585","cell",2301,1365,0,"6","6","6"
"cell_586","cell",2303,1300,0.390794615718628,"8","9","9"
"cell_587","cell",2301,1216,0.0869187309865276,"3","3","3"
"cell_588","cell",2297,1484,0.21767522855899,"5","6","6"
"cell_589","cell",2296,1316,0.348432055749129,"0","0","0"
"cell_590","cell",2297,1357,0,"4","4","4"
"cell_591","cell",2291,1254,0.261894369271061,"3","3","3"
"cell_592","cell",2285,1467,0.087527352297593,"8","9","9"
"cell_593","cell",2288,1289,0.305944055944056,"0","0","0"
"cell_594","cell",2286,1408,0.218722659667542,"6","6","6"
"cell_595","cell",2285,1368,0.262582056892779,"0","0","0"
"cell_596","cell",2282,1410,0.175284837861525,"5","5","5"
"cell_597","cell",2283,1428,0,"0","0","0"
"cell_598","cell",2275,1510,0.307692307692308,"4","4","4"
"cell_599","cell",2274,1470,0.175901495162709,"4","4","4"
"cell_600","cell",2272,1557,0.264084507042254,"2","2","2"
"cell_601","cell",2266,1485,0.132391879964696,"4","4","4"
"cell_602","cell",2268,1444,0.0440917107583774,"0","0","0"
"cell_603","cell",2267,1445,0.264666960741067,"4","4","4"
"cell_604","cell",2270,1407,0.39647577092511,"4","2","2"
"cell_605","cell",2265,1420,0.353200883002208,"0","0","0"
"cell_606","cell",2265,1513,0.0883002207505519,"4","4","4"
"cell_607","cell",2260,1492,0.176991150442478,"0","0","0"
"cell_608","cell",2253,1219,0.221926320461607,"3","3","3"
"cell_609","cell",2252,1529,0.22202486678508,"0","0","0"
"cell_610","cell",2252,1284,0.22202486678508,"0","0","0"
"cell_611","cell",2251,1351,0.177698800533096,"0","1","1"
"cell_612","cell",2250,1523,0.0444444444444444,"2","2","2"
"cell_613","cell",2243,1372,0.0891662951404369,"4","4","4"
"cell_614","cell",2246,1225,0.934995547640249,"0","0","0"
"cell_615","cell",2247,1412,0.0445037828215398,"4","4","4"
"cell_616","cell",2236,1474,0.0447227191413238,"2","2","2"
"cell_617","cell",2238,1251,0,"0","0","0"
"cell_618","cell",2240,1407,0.178571428571429,"2","2","2"
"cell_619","cell",2239,1370,0.0446627958910228,"0","0","0"
"cell_620","cell",2236,1245,0.178890876565295,"0","0","0"
"cell_621","cell",2238,1289,0.223413762287757,"5","5","5"
"cell_622","cell",2229,1375,0.224315836698071,"0","0","0"
"cell_623","cell",2230,1296,0.403587443946188,"5","5","5"
"cell_624","cell",2231,1159,0.537875392200807,"3","3","3"
"cell_625","cell",2230,1201,0.358744394618834,"3","3","3"
"cell_626","cell",2227,1331,0.134710372698698,"5","5","5"
"cell_627","cell",2228,1212,0.224416517055655,"5","5","5"
"cell_628","cell",2222,1424,0.225022502250225,"3","3","3"
"cell_629","cell",2224,1171,0.404676258992806,"3","3","3"
"cell_630","cell",2216,1410,0.0902527075812274,"4","4","4"
"cell_631","cell",2218,1602,0.0901713255184851,"2","2","2"
"cell_632","cell",2219,1419,0.0450653447498873,"0","0","0"
"cell_633","cell",2216,1394,0.135379061371841,"0","0","0"
"cell_634","cell",2205,1435,0.226757369614512,"2","2","2"
"cell_635","cell",2208,1195,0.543478260869565,"5","5","5"
"cell_636","cell",2206,1351,0.226654578422484,"0","0","0"
"cell_637","cell",2202,1286,0,"8","9","9"
"cell_638","cell",2208,1277,0.543478260869565,"0","0","0"
"cell_639","cell",2203,1438,0.136177939173854,"4","4","4"
"cell_640","cell",2207,1383,0.181241504304486,"0","1","1"
"cell_641","cell",2204,1367,0.136116152450091,"2","2","2"
"cell_642","cell",2199,1332,0.0909504320145521,"0","0","0"
"cell_643","cell",2199,1334,0,"0","0","0"
"cell_644","cell",2196,1424,0.273224043715847,"4","4","4"
"cell_645","cell",2198,1340,0.318471337579618,"5","5","5"
"cell_646","cell",2197,1329,0.273099681383705,"4","4","4"
"cell_647","cell",2192,1401,0.136861313868613,"1","1","1"
"cell_648","cell",2193,1331,0.319197446420429,"4","4","4"
"cell_649","cell",2190,1386,0.136986301369863,"0","0","0"
"cell_650","cell",2190,1332,0,"2","10","10"
"cell_651","cell",2190,1360,0.273972602739726,"0","0","0"
"cell_652","cell",2185,1478,0.045766590389016,"0","1","1"
"cell_653","cell",2182,1413,0.274977085242896,"4","4","4"
"cell_654","cell",2183,1312,0.412276683463124,"3","3","3"
"cell_655","cell",2183,1168,0.87036188731104,"3","3","3"
"cell_656","cell",2185,1355,0.137299771167048,"0","0","0"
"cell_657","cell",2177,1325,0.0459347726228755,"6","6","6"
"cell_658","cell",2179,1410,0.229463056447912,"4","4","4"
"cell_659","cell",2176,1315,0.505514705882353,"2","2","2"
"cell_660","cell",2168,1401,0.0461254612546125,"2","2","2"
"cell_661","cell",2171,1341,0.0921234454168586,"0","0","0"
"cell_662","cell",2173,1472,0.414173953060285,"1","1","1"
"cell_663","cell",2169,1311,0.4149377593361,"0","0","0"
"cell_664","cell",2162,1467,0.185013876040703,"2","10","10"
"cell_665","cell",2167,1433,0.138440239963083,"2","2","2"
"cell_666","cell",2171,1312,0.322432058959005,"0","0","0"
"cell_667","cell",2166,1309,0.277008310249307,"0","0","0"
"cell_668","cell",2165,1385,0.323325635103926,"2","2","2"
"cell_669","cell",2163,1103,0.184928340268146,"3","3","3"
"cell_670","cell",2164,1195,0.138632162661738,"0","0","0"
"cell_671","cell",2167,1123,0.276880479926165,"0","0","0"
"cell_672","cell",2162,1384,0.138760407030527,"0","1","1"
"cell_673","cell",2163,1392,0.13869625520111,"2","2","2"
"cell_674","cell",2158,1336,0.602409638554217,"0","0","0"
"cell_675","cell",2158,1488,0.370713623725672,"5","5","5"
"cell_676","cell",2158,1459,0,"2","1","1"
"cell_677","cell",2159,1108,0.880037054191755,"3","3","3"
"cell_678","cell",2159,1277,0.32422417786012,"0","0","0"
"cell_679","cell",2150,1288,0.372093023255814,"2","2","2"
"cell_680","cell",2154,1299,0,"0","0","0"
"cell_681","cell",2154,1337,0.510677808727948,"0","0","0"
"cell_682","cell",2150,1106,0.13953488372093,"3","3","3"
"cell_683","cell",2153,1431,0,"4","4","4"
"cell_684","cell",2150,1352,0.0930232558139535,"6","6","6"
"cell_685","cell",2148,1443,0,"4","4","4"
"cell_686","cell",2145,1208,0.233100233100233,"3","3","3"
"cell_687","cell",2148,1411,0.325884543761639,"3","3","3"
"cell_688","cell",2147,1373,0.232883092687471,"2","2","2"
"cell_689","cell",2149,1316,0.372266170311773,"0","0","0"
"cell_690","cell",2142,1417,0.326797385620915,"4","4","4"
"cell_691","cell",2143,1212,0.233317778814746,"3","3","3"
"cell_692","cell",2137,1398,0.187178287318671,"2","2","2"
"cell_693","cell",2142,1306,0.420168067226891,"0","0","0"
"cell_694","cell",2135,1088,0.0936768149882904,"3","3","3"
"cell_695","cell",2141,1265,0.373657169546941,"0","0","0"
"cell_696","cell",2133,1482,0.046882325363338,"4","4","4"
"cell_697","cell",2127,1423,0.0470145745181006,"4","4","4"
"cell_698","cell",2132,1362,0.187617260787992,"0","0","0"
"cell_699","cell",2129,1382,0.328792860497886,"0","0","0"
"cell_700","cell",2124,1519,0.0470809792843691,"4","2","2"
"cell_701","cell",2124,1151,0.376647834274953,"3","3","3"
"cell_702","cell",2119,1368,0.235960358659745,"3","3","3"
"cell_703","cell",2122,1299,0.235626767200754,"4","4","4"
"cell_704","cell",2120,1176,0.188679245283019,"3","3","3"
"cell_705","cell",2121,1267,0.141442715700141,"2","2","2"
"cell_706","cell",2121,1178,1.6973125884017,"3","3","3"
"cell_707","cell",2109,1338,0.237079184447606,"2","2","2"
"cell_708","cell",2115,1259,0.0945626477541371,"0","0","0"
"cell_709","cell",2110,1318,0.14218009478673,"2","2","2"
"cell_710","cell",2112,1252,0.189393939393939,"3","3","3"
"cell_711","cell",2110,1448,0.37914691943128,"0","0","0"
"cell_712","cell",2113,1221,0.331282536677709,"0","0","0"
"cell_713","cell",2113,1268,0.0473260766682442,"2","2","2"
"cell_714","cell",2105,1379,0.237529691211401,"0","0","0"
"cell_715","cell",2102,1370,0,"4","4","4"
"cell_716","cell",2098,1171,0.619637750238322,"3","3","3"
"cell_717","cell",2103,1157,0.713266761768902,"3","3","3"
"cell_718","cell",2100,1291,0.285714285714286,"0","0","0"
"cell_719","cell",2096,1293,0.238549618320611,"0","0","0"
"cell_720","cell",2092,1374,0.1434034416826,"4","4","4"
"cell_721","cell",2098,1331,0.238322211630124,"0","0","0"
"cell_722","cell",2094,1409,0.238777459407832,"4","4","4"
"cell_723","cell",2093,1263,0.0955566172957477,"2","2","2"
"cell_724","cell",2082,1323,0.048030739673391,"2","2","2"
"cell_725","cell",2083,1111,0.43206913106097,"3","3","3"
"cell_726","cell",2082,1294,0.144092219020173,"2","1","1"
"cell_727","cell",2085,1305,0.335731414868105,"0","0","0"
"cell_728","cell",2081,1373,0.0961076405574243,"1","1","1"
"cell_729","cell",2081,1348,0.144161460836136,"2","2","2"
"cell_730","cell",2078,1450,0,"0","8","8"
"cell_731","cell",2070,1270,0.0483091787439614,"0","8","8"
"cell_732","cell",2072,1308,0.0965250965250965,"6","6","6"
"cell_733","cell",2070,1277,0.241545893719807,"0","0","0"
"cell_734","cell",2061,1361,0.145560407569141,"4","4","4"
"cell_735","cell",2056,1191,0,"8","9","9"
"cell_736","cell",2058,1434,0,"4","4","4"
"cell_737","cell",2060,1294,0.194174757281553,"5","5","5"
"cell_738","cell",2052,1331,0.292397660818713,"1","1","1"
"cell_739","cell",2055,1286,0.24330900243309,"2","2","2"
"cell_740","cell",2050,1239,0.536585365853659,"3","3","3"
"cell_741","cell",2048,1340,0.09765625,"0","0","0"
"cell_742","cell",2049,1179,0.292825768667643,"3","3","3"
"cell_743","cell",2044,1287,0.782778864970646,"0","0","0"
"cell_744","cell",2043,1313,0.0978952520802741,"1","1","1"
"cell_745","cell",2043,1323,0.440528634361234,"1","1","1"
"cell_746","cell",2042,1391,0.0979431929480901,"4","4","4"
"cell_747","cell",2039,1366,0.0980872976949485,"2","2","2"
"cell_748","cell",2033,1261,0.29513034923758,"0","11","11"
"cell_749","cell",2036,1270,0.442043222003929,"0","0","0"
"cell_750","cell",2038,1321,0.14720314033366,"0","0","0"
"cell_751","cell",2033,1293,0.196753566158387,"5","5","5"
"cell_752","cell",2036,1151,0.343811394891945,"2","2","2"
"cell_753","cell",2033,1253,0.491883915395967,"2","2","2"
"cell_754","cell",2028,1371,0.14792899408284,"2","2","2"
"cell_755","cell",2028,1296,0,"5","5","5"
"cell_756","cell",2029,1355,0.098570724494825,"2","1","1"
"cell_757","cell",2031,1296,0.0492368291482029,"0","0","0"
"cell_758","cell",2027,1353,0.148001973359645,"4","4","4"
"cell_759","cell",2031,1134,0.0492368291482029,"3","3","3"
"cell_760","cell",2027,1231,0.148001973359645,"5","5","5"
"cell_761","cell",2019,1361,0.247647350173353,"2","2","2"
"cell_762","cell",2025,1276,0.0493827160493827,"0","1","1"
"cell_763","cell",2017,1270,0.0991571641051066,"0","8","8"
"cell_764","cell",2018,1311,0.198216055500496,"2","1","1"
"cell_765","cell",2016,1237,0.148809523809524,"0","0","0"
"cell_766","cell",2014,1352,0.198609731876862,"4","4","4"
"cell_767","cell",2015,1217,0.198511166253102,"0","0","0"
"cell_768","cell",2011,1312,0.198906016907011,"0","1","1"
"cell_769","cell",2010,1214,0.248756218905473,"2","2","2"
"cell_770","cell",2010,1140,0.398009950248756,"3","3","3"
"cell_771","cell",2004,1096,0.149700598802395,"3","3","3"
"cell_772","cell",2011,1294,0.596718050721034,"0","0","0"
"cell_773","cell",2008,1088,0.149402390438247,"3","3","3"
"cell_774","cell",2007,1246,0.149476831091181,"2","2","2"
"cell_775","cell",2002,1271,0.1998001998002,"5","5","5"
"cell_776","cell",2004,1360,0.0499001996007984,"4","4","4"
"cell_777","cell",2004,1260,0.0499001996007984,"0","0","0"
"cell_778","cell",2000,1045,0.2,"3","3","3"
"cell_779","cell",1994,1215,0.100300902708124,"8","9","9"
"cell_780","cell",1996,1315,0,"0","0","0"
"cell_781","cell",1997,1327,1.4521782674011,"0","11","11"
"cell_782","cell",1991,1272,0.452034153691612,"0","0","0"
"cell_783","cell",1997,1128,0.500751126690035,"3","3","3"
"cell_784","cell",1986,1331,0.151057401812689,"2","10","10"
"cell_785","cell",1991,1220,0.200904068307383,"5","5","5"
"cell_786","cell",1989,1271,1.86023127199598,"0","11","11"
"cell_787","cell",1979,1351,0.202122283981809,"4","4","4"
"cell_788","cell",1985,1236,0.151133501259446,"0","0","0"
"cell_789","cell",1981,1140,0.504795557799091,"3","3","3"
"cell_790","cell",1986,1104,0.251762336354481,"2","2","2"
"cell_791","cell",1983,1191,0.100857286938981,"2","2","2"
"cell_792","cell",1982,1244,0.403632694248234,"0","8","8"
"cell_793","cell",1974,1341,0.303951367781155,"4","2","2"
"cell_794","cell",1970,1262,0.101522842639594,"0","0","0"
"cell_795","cell",1977,1160,0.303490136570561,"0","0","0"
"cell_796","cell",1976,967,0.303643724696356,"3","3","3"
"cell_797","cell",1975,1298,0.354430379746835,"4","4","4"
"cell_798","cell",1972,1317,0.405679513184584,"4","2","2"
"cell_799","cell",1974,1198,0,"0","0","0"
"cell_800","cell",1971,1335,0.0507356671740233,"2","1","1"
"cell_801","cell",1969,1229,0.101574403250381,"0","0","0"
"cell_802","cell",1969,1115,0.203148806500762,"5","5","5"
"cell_803","cell",1965,1284,0.610687022900763,"2","2","2"
"cell_804","cell",1966,1337,0.356052899287894,"4","4","4"
"cell_805","cell",1961,1325,0.0509943906170321,"2","2","2"
"cell_806","cell",1965,1184,0.152671755725191,"0","0","0"
"cell_807","cell",1965,1197,0,"0","0","0"
"cell_808","cell",1962,1008,0.203873598369011,"5","5","5"
"cell_809","cell",1954,1285,0.15353121801433,"4","4","4"
"cell_810","cell",1957,1104,1.02197240674502,"3","3","3"
"cell_811","cell",1955,1200,0.10230179028133,"6","6","6"
"cell_812","cell",1946,1397,0.205549845837616,"2","2","2"
"cell_813","cell",1953,1273,0.256016385048643,"0","0","0"
"cell_814","cell",1957,1099,0,"0","0","0"
"cell_815","cell",1951,1243,0.102511532547412,"0","0","0"
"cell_816","cell",1951,1152,0.102511532547412,"0","0","0"
"cell_817","cell",1945,1041,0.411311053984576,"3","3","3"
"cell_818","cell",1940,1177,0.360824742268041,"2","2","2"
"cell_819","cell",1948,1281,0.256673511293634,"1","1","1"
"cell_820","cell",1945,1219,0.565552699228792,"3","3","3"
"cell_821","cell",1939,1279,0.515729757607014,"1","1","1"
"cell_822","cell",1937,1216,0.0516262261228704,"6","6","6"
"cell_823","cell",1935,1281,0.310077519379845,"0","0","0"
"cell_824","cell",1936,1278,0.568181818181818,"5","5","5"
"cell_825","cell",1940,1218,0.103092783505155,"5","5","5"
"cell_826","cell",1938,1178,0,"5","5","5"
"cell_827","cell",1934,1361,0.568769389865564,"0","1","1"
"cell_828","cell",1929,1162,0.31104199066874,"0","1","1"
"cell_829","cell",1930,1180,0.310880829015544,"1","1","1"
"cell_830","cell",1932,1240,1.24223602484472,"4","4","4"
"cell_831","cell",1925,1223,0.051948051948052,"0","0","0"
"cell_832","cell",1929,1206,0.15552099533437,"1","1","1"
"cell_833","cell",1928,1166,0.155601659751037,"5","5","5"
"cell_834","cell",1924,1291,0.415800415800416,"1","1","1"
"cell_835","cell",1926,1169,0.207684319833853,"5","5","5"
"cell_836","cell",1918,1084,0.208550573514077,"3","3","3"
"cell_837","cell",1920,1332,0.104166666666667,"4","4","4"
"cell_838","cell",1920,1039,0.208333333333333,"3","3","3"
"cell_839","cell",1921,1289,0.312337324310255,"2","2","2"
"cell_840","cell",1918,1313,0.417101147028154,"2","2","2"
"cell_841","cell",1917,1318,0.104329681794471,"2","2","2"
"cell_842","cell",1915,1110,0.156657963446475,"0","0","0"
"cell_843","cell",1913,1246,0.313643491897543,"1","1","1"
"cell_844","cell",1919,1319,0.312662845231892,"0","0","0"
"cell_845","cell",1915,1210,0.261096605744125,"0","0","0"
"cell_846","cell",1913,1258,0.522739153162572,"0","0","0"
"cell_847","cell",1914,1199,0.365726227795193,"5","5","5"
"cell_848","cell",1906,1310,0.0524658971668416,"2","1","1"
"cell_849","cell",1907,1333,0.0524383848977451,"2","2","2"
"cell_850","cell",1908,1274,0.209643605870021,"4","4","4"
"cell_851","cell",1907,1121,0.262191924488726,"2","2","2"
"cell_852","cell",1902,1149,0.473186119873817,"5","5","5"
"cell_853","cell",1903,1183,0,"6","6","6"
"cell_854","cell",1905,1086,0.10498687664042,"3","3","3"
"cell_855","cell",1903,1237,0.105097214923805,"4","4","4"
"cell_856","cell",1901,1249,0.0526038926880589,"1","1","1"
"cell_857","cell",1900,1205,0,"5","5","5"
"cell_858","cell",1898,1243,0.0526870389884088,"5","5","5"
"cell_859","cell",1899,1249,0.263296471827278,"4","4","4"
"cell_860","cell",1900,1256,0.105263157894737,"4","4","4"
"cell_861","cell",1894,1154,0.211193241816262,"0","0","0"
"cell_862","cell",1895,1055,0.316622691292876,"3","3","3"
"cell_863","cell",1894,1159,0,"0","0","0"
"cell_864","cell",1891,1131,0.158646218931782,"0","0","0"
"cell_865","cell",1889,1242,0.635256749602965,"2","2","2"
"cell_866","cell",1889,1219,0.211752249867655,"0","0","0"
"cell_867","cell",1893,999,1.69043845747491,"0","11","11"
"cell_868","cell",1887,1140,0.317965023847377,"5","5","5"
"cell_869","cell",1881,1262,0.159489633173844,"4","4","4"
"cell_870","cell",1886,1230,0.477200424178155,"5","5","5"
"cell_871","cell",1882,1082,0.318809776833156,"3","3","3"
"cell_872","cell",1879,1182,0,"2","2","2"
"cell_873","cell",1879,1123,0.319318786588611,"3","3","3"
"cell_874","cell",1871,1260,0.160342063067878,"4","2","2"
"cell_875","cell",1877,1083,0.79914757591902,"3","3","3"
"cell_876","cell",1871,1229,2.40513094601817,"1","1","1"
"cell_877","cell",1872,1195,0.427350427350427,"0","0","0"
"cell_878","cell",1864,1268,0.0536480686695279,"4","4","4"
"cell_879","cell",1869,1053,0.267522739432852,"3","3","3"
"cell_880","cell",1869,1209,0.267522739432852,"4","4","4"
"cell_881","cell",1864,1286,0.160944206008584,"4","4","4"
"cell_882","cell",1864,1170,1.01931330472103,"0","11","11"
"cell_883","cell",1858,1267,0.107642626480086,"2","2","2"
"cell_884","cell",1865,1273,0.0536193029490617,"2","2","2"
"cell_885","cell",1862,1254,0.161117078410312,"4","4","4"
"cell_886","cell",1864,1114,0.268240343347639,"5","5","5"
"cell_887","cell",1858,1189,0.107642626480086,"2","2","2"
"cell_888","cell",1860,1287,0,"4","4","4"
"cell_889","cell",1859,1285,0.0537923614846692,"4","4","4"
"cell_890","cell",1857,1191,0.107700592353258,"2","2","2"
"cell_891","cell",1852,1262,0.215982721382289,"0","0","0"
"cell_892","cell",1850,1162,0.27027027027027,"0","0","0"
"cell_893","cell",1844,1222,0.0542299349240781,"2","2","2"
"cell_894","cell",1854,1239,0.323624595469256,"2","2","2"
"cell_895","cell",1845,1183,0.10840108401084,"2","2","2"
"cell_896","cell",1846,1120,0.866738894907909,"5","5","5"
"cell_897","cell",1847,1179,0,"1","1","1"
"cell_898","cell",1841,1159,0.0543183052688756,"4","4","4"
"cell_899","cell",1848,973,0.162337662337662,"3","3","3"
"cell_900","cell",1840,1236,0,"8","9","9"
"cell_901","cell",1846,1301,0.595882990249187,"1","1","1"
"cell_902","cell",1844,1204,0.325379609544469,"4","4","4"
"cell_903","cell",1841,1183,0.325909831613254,"0","0","0"
"cell_904","cell",1840,1168,0.16304347826087,"5","5","5"
"cell_905","cell",1832,1205,0.327510917030568,"0","1","1"
"cell_906","cell",1833,1131,0.0545553737043099,"0","0","0"
"cell_907","cell",1831,1136,0.163844893500819,"0","0","0"
"cell_908","cell",1829,1164,0.109349371241115,"0","0","0"
"cell_909","cell",1829,1180,0.109349371241115,"5","5","5"
"cell_910","cell",1824,1126,0.383771929824561,"0","0","0"
"cell_911","cell",1825,1300,0.10958904109589,"1","1","1"
"cell_912","cell",1827,1169,0.273672687465791,"0","0","0"
"cell_913","cell",1822,1194,0.164654226125137,"0","0","0"
"cell_914","cell",1825,1282,0.219178082191781,"2","2","2"
"cell_915","cell",1824,1208,0.548245614035088,"5","5","5"
"cell_916","cell",1823,1178,0.274273176083379,"0","0","0"
"cell_917","cell",1825,1109,0.273972602739726,"0","0","0"
"cell_918","cell",1818,992,0.495049504950495,"3","3","3"
"cell_919","cell",1824,1191,0.767543859649123,"0","0","0"
"cell_920","cell",1819,1110,0.109950522264981,"2","2","2"
"cell_921","cell",1820,993,0.164835164835165,"3","3","3"
"cell_922","cell",1820,1219,0.164835164835165,"2","2","2"
"cell_923","cell",1819,1184,0.164925783397471,"1","1","1"
"cell_924","cell",1814,987,0,"5","5","5"
"cell_925","cell",1812,1081,0.0551876379690949,"8","9","9"
"cell_926","cell",1811,1129,0.331308669243512,"0","0","0"
"cell_927","cell",1802,1214,0.110987791342952,"8","9","9"
"cell_928","cell",1804,1213,0.110864745011086,"0","1","1"
"cell_929","cell",1804,1108,0.0554323725055432,"0","0","0"
"cell_930","cell",1803,1138,0.0554631170271769,"1","1","1"
"cell_931","cell",1799,1097,0.0555864369093941,"3","3","3"
"cell_932","cell",1802,1066,0.332963374028857,"3","3","3"
"cell_933","cell",1799,1053,0.722623679822123,"1","1","1"
"cell_934","cell",1796,1202,0,"2","2","2"
"cell_935","cell",1795,1126,0.11142061281337,"2","2","2"
"cell_936","cell",1796,1138,0.111358574610245,"0","8","8"
"cell_937","cell",1791,1219,0.16750418760469,"4","4","4"
"cell_938","cell",1792,1120,0,"3","3","3"
"cell_939","cell",1789,1190,0,"1","1","1"
"cell_940","cell",1793,1118,0.446179587283882,"1","1","1"
"cell_941","cell",1784,1052,0.336322869955157,"3","3","3"
"cell_942","cell",1783,904,1.17779024116657,"3","3","3"
"cell_943","cell",1782,1172,0.336700336700337,"2","2","2"
"cell_944","cell",1784,1145,0.0560538116591928,"2","2","2"
"cell_945","cell",1783,1169,0.280426247896803,"0","0","0"
"cell_946","cell",1784,1065,0,"6","6","6"
"cell_947","cell",1782,1150,0.0561167227833895,"2","2","2"
"cell_948","cell",1776,1127,0.225225225225225,"2","2","2"
"cell_949","cell",1777,1114,0.056274620146314,"0","8","8"
"cell_950","cell",1775,1119,0.338028169014085,"1","1","1"
"cell_951","cell",1773,1117,0,"0","0","0"
"cell_952","cell",1771,1181,0.338791643139469,"2","2","2"
"cell_953","cell",1771,899,0.169395821569735,"0","0","0"
"cell_954","cell",1772,1110,0.112866817155756,"0","0","0"
"cell_955","cell",1773,1104,0.169204737732657,"0","0","0"
